BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
A01/00000215F72E0001;132440733162156169;2020-09-09;00:15:16.216;application/x-bolt;3703;0235413429;132440732799730000;2020-09-09;00:14:39.973;;;;;;23003;132440733029760000;2020-09-09;00:15:02.976;;;;;;;;100609_0000000499;;;;;;EDI;;Accept;;100609;20000;;2;;;;;;;;;;;;;
A01/00000215F72F0001;132440733195444261;2020-09-09;00:15:19.544;application/x-bolt;3696;0075047834;132440732833020000;2020-09-09;00:14:43.302;;;;;;23003;132440733063050000;2020-09-09;00:15:06.305;;;;;;;;100609_0000000500;;;;;;EDI;;Accept;;100609;20000;;2;;;;;;;;;;;;;
A01/00000215F7300001;132440733224859080;2020-09-09;00:15:22.486;application/x-bolt;3699;0235412727;132440732862420000;2020-09-09;00:14:46.242;;;;;;23003;132440733092450000;2020-09-09;00:15:09.245;;;;;;;;100609_0000000501;;;;;;EDI;;Accept;;100609;20000;;2;;;;;;;;;;;;;
A01/00000215F7310001;132440733255715121;2020-09-09;00:15:25.572;application/x-bolt;3705;0235414341;132440732893270000;2020-09-09;00:14:49.327;;;;;;23007;132440733123340000;2020-09-09;00:15:12.334;;;;;;;;100609_0000000502;;;;;;EDI;;Accept;;100609;20003;;2;;;;;;;;;;;;;
A01/00000215F7320001;132440733284639528;2020-09-09;00:15:28.464;application/x-bolt;3706;0235416983;132440732922140000;2020-09-09;00:14:52.214;;;;;;23014;132440733152280000;2020-09-09;00:15:15.228;;;;;;;;100609_0000000503;;;;;;EDI;;Accept;;100609;20000;;2;;;;;;;;;;;;;
A01/00000215F7330001;132440733311131884;2020-09-09;00:15:31.113;application/x-bolt;3700;0235415394;132440732948730000;2020-09-09;00:14:54.873;;;;;;23003;132440733178760000;2020-09-09;00:15:17.876;;;;;;;;100609_0000000504;;;;;;EDI;;Accept;;100609;20000;;2;;;;;;;;;;;;;
A01/00000215F7340001;132440740140519319;2020-09-09;00:26:54.052;application/x-bolt;3709;0235428961;132440739788860000;2020-09-09;00:26:18.886;;;;;;23003;132440740018890000;2020-09-09;00:26:41.889;;;;;;;;101115_0000000207;;;;;;EDI;;Accept;;101115;20000;;2;;;;;;;;;;;;;
A01/00000215F7350001;132440740170113919;2020-09-09;00:26:57.011;application/x-bolt;3698;0235427645;132440739818490000;2020-09-09;00:26:21.849;;;;;;23003;132440740048520000;2020-09-09;00:26:44.852;;;;;;;;101115_0000000208;;;;;;EDI;;Accept;;101115;20000;;2;;;;;;;;;;;;;
A01/00000215F7360002;132440740205633438;2020-09-09;00:27:00.563;application/x-bolt;3837;0235427842 / 0235426731;132440739853960000;2020-09-09;00:26:25.396;;;;;;23003;132440740083990000;2020-09-09;00:26:48.399;;;;;;;;101115_0000000209;;;Multiple main barcodes detected;;;EDI;;Accept;;101115;20001;;2;;;;;;;;;;;;;
A01/00000215F7380001;132440740234777662;2020-09-09;00:27:03.478;application/x-bolt;3696;0235428492;132440739883110000;2020-09-09;00:26:28.311;;;;;;23003;132440740113140000;2020-09-09;00:26:51.314;;;;;;;;101115_0000000210;;;;;;EDI;;Accept;;101115;20000;;2;;;;;;;;;;;;;
