BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
D01/00000D4709E10006;132321709888089894;2020-04-24;06:03:08.809;application/x-bolt;23780;0486391073 / 0229306901 / 0235898078;132321709651852000;2020-04-24;06:02:45.185;;;;;;18014;132321709831992000;2020-04-24;06:03:03.199;;;;;;;;132000_0034361411;;;Multiple main barcodes detected;Camera01;09;EDI+EDI;;Accept;;132000;2212;;123;Departures;;;;;;;;;;;;
D01/00000D4709E70006;132321710058662754;2020-04-24;06:03:25.866;application/x-bolt;23999;0229306902 / 0229430679;132321709822542000;2020-04-24;06:03:02.254;;;;;;18006;132321710002602000;2020-04-24;06:03:20.260;;;;;;;;132000_0034361410;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;132000;2210;;123;Departures;;;;;;;;;;;;
D01/00000D4709ED0007;132321715291505312;2020-04-24;06:12:09.151;application/x-bolt;26784;0229306922;132321715055262000;2020-04-24;06:11:45.526;;;;;;18007;132321715235332000;2020-04-24;06:12:03.533;;;;;;;;132000_0034361416;;;;;;EDI+EDI;;Accept;;132000;2223;;123;Departures;;;;;;;;;;;;
D01/00000D4709F40007;132321715341447135;2020-04-24;06:12:14.145;application/x-bolt;27635;0229306923;132321715105182000;2020-04-24;06:11:50.518;;;;;;18008;132321715285262000;2020-04-24;06:12:08.526;;;;;;;;132000_0034361417;;;;;;EDI+EDI;;Accept;;132000;2232;;123;Departures;;;;;;;;;;;;
D01/00000D4709FB0007;132321715526512132;2020-04-24;06:12:32.651;application/x-bolt;24653;0229306928;132321715290322000;2020-04-24;06:12:09.032;;;;;;18008;132321715470402000;2020-04-24;06:12:27.040;;;;;;;;132000_0034361423;;;;;;EDI+EDI;;Accept;;132000;2227;;123;Departures;;;;;;;;;;;;
D01/00000D470A020007;132321715560960982;2020-04-24;06:12:36.096;application/x-bolt;24471;0229306929;132321715324732000;2020-04-24;06:12:12.473;;;;;;18009;132321715504822000;2020-04-24;06:12:30.482;;;;;;;;132000_0034361421;;;;;;EDI+EDI;;Accept;;132000;2242;;123;Departures;;;;;;;;;;;;
D01/00000D470A090006;132321715592527418;2020-04-24;06:12:39.253;application/x-bolt;23705;0229306924;132321715356292000;2020-04-24;06:12:15.629;;;;;;18007;132321715536362000;2020-04-24;06:12:33.636;;;;;;;;132000_0034361425;;;;Camera02;07;EDI+EDI;;Accept;;132000;2246;;123;Departures;;;;;;;;;;;;
D01/00000D470A0F0006;132321715700557893;2020-04-24;06:12:50.056;application/x-bolt;23959;0229306927 / 0235657215;132321715464402000;2020-04-24;06:12:26.440;;;;;;18007;132321715644472000;2020-04-24;06:12:44.447;;;;;;;;132000_0034361419;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;132000;2263;;123;Departures;;;;;;;;;;;;
D01/00000D470A150007;132321715754402987;2020-04-24;06:12:55.440;application/x-bolt;25250;0229306925;132321715518132000;2020-04-24;06:12:31.813;;;;;;18006;132321715698192000;2020-04-24;06:12:49.819;;;;;;;;132000_0034361422;;;;;;EDI+EDI;;Accept;;132000;2252;;123;Departures;;;;;;;;;;;;
D01/00000D470A1C0007;132321715926487112;2020-04-24;06:13:12.649;application/x-bolt;24965;0235799779 / 0229306926;132321715690282000;2020-04-24;06:12:49.028;;;;;;18006;132321715870342000;2020-04-24;06:13:07.034;;;;;;;;132000_0034361424;;;Multiple main barcodes detected;Camera04;09;EDI+EDI;;Accept;;132000;2281;;123;Departures;;;;;;;;;;;;
D01/00000D470A230007;132321716318975826;2020-04-24;06:13:51.898;application/x-bolt;24920;0229306931;132321716082922000;2020-04-24;06:13:28.292;;;;;;18007;132321716262992000;2020-04-24;06:13:46.299;;;;;;;;132000_0034361428;;;;;;EDI+EDI;;Accept;;132000;2316;;123;Departures;;;;;;;;;;;;
D01/00000D470A2A0006;132321716484814716;2020-04-24;06:14:08.481;application/x-bolt;23642;0229306932;132321716248642000;2020-04-24;06:13:44.864;;;;;;18007;132321716428712000;2020-04-24;06:14:02.871;;;;;;;;132000_0034361429;;;;Camera05;01;EDI+EDI;;Accept;;132000;2315;;123;Departures;;;;;;;;;;;;
D01/00000D470A300007;132321717141925053;2020-04-24;06:15:14.193;application/x-bolt;24457;0229306930;132321716905612000;2020-04-24;06:14:50.561;;;;;;18006;132321717085672000;2020-04-24;06:15:08.567;;;;;;;;132000_0034361430;;;;;;EDI+EDI;;Accept;;132000;2307;;123;Departures;;;;;;;;;;;;
D01/00000D470A370007;132321717922168515;2020-04-24;06:16:32.217;application/x-bolt;26491;0229306936 / 0429306936 / 0771421270;132321717685802000;2020-04-24;06:16:08.580;;;;;;18006;132321717865862000;2020-04-24;06:16:26.586;;;;;;;;132000_0034361431;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;132000;2341;;123;Departures;;;;;;;;;;;;
D01/00000D470A3E0007;132321718147667370;2020-04-24;06:16:54.767;application/x-bolt;25596;0229306937;132321717911162000;2020-04-24;06:16:31.116;;;;;;18007;132321718091232000;2020-04-24;06:16:49.123;;;;;;;;132000_0034361432;;;;;;EDI+EDI;;Accept;;132000;2354;;123;Departures;;;;;;;;;;;;
D01/00000D470A450006;132321718174750056;2020-04-24;06:16:57.475;application/x-bolt;22777;0229306943;132321717938252000;2020-04-24;06:16:33.825;;;;;;18008;132321718118332000;2020-04-24;06:16:51.833;;;;;;;;132000_0034361433;;;;Camera03;05;EDI+EDI;;Accept;;132000;2345;;123;Departures;;;;;;;;;;;;
D01/00000D470A4B0007;132321718459888861;2020-04-24;06:17:25.989;application/x-bolt;24302;0229306942;132321718223512000;2020-04-24;06:17:02.351;;;;;;18008;132321718403592000;2020-04-24;06:17:20.359;;;;;;;;132000_0034361434;;;;;;EDI+EDI;;Accept;;132000;2371;;123;Departures;;;;;;;;;;;;
D01/00000D470A520006;132321718534851642;2020-04-24;06:17:33.485;application/x-bolt;23333;0229306944;132321718298622000;2020-04-24;06:17:09.862;;;;;;18006;132321718478682000;2020-04-24;06:17:27.868;;;;;;;;132000_0034361439;;;;;;EDI+EDI;;Accept;;132000;2400;;123;Departures;;;;;;;;;;;;
D01/00000D470A580007;132321718564196221;2020-04-24;06:17:36.420;application/x-bolt;25535;0229306946;132321718327922000;2020-04-24;06:17:12.792;;;;;;18007;132321718507992000;2020-04-24;06:17:30.799;;;;;;;;132000_0034361437;;;;;;EDI+EDI;;Accept;;132000;2385;;123;Departures;;;;;;;;;;;;
D01/00000D470A5F0006;132321718968244614;2020-04-24;06:18:16.824;application/x-bolt;23045;0229306948;132321718731952000;2020-04-24;06:17:53.195;;;;;;18007;132321718912022000;2020-04-24;06:18:11.202;;;;;;;;132000_0034361440;;;;Camera05;06;EDI+EDI;;Accept;;132000;2322;;123;Departures;;;;;;;;;;;;
D01/00000D470A650006;132321719109002500;2020-04-24;06:18:30.900;application/x-bolt;22963;0229306947 / 0229272602;132321718872662000;2020-04-24;06:18:07.266;;;;;;18007;132321719052732000;2020-04-24;06:18:25.273;;;;;;;;132000_0034361441;;;Multiple main barcodes detected;Camera06;02;EDI+EDI;;Accept;;132000;2348;;123;Departures;;;;;;;;;;;;
D01/00000D470A6B0006;132321719151928450;2020-04-24;06:18:35.193;application/x-bolt;23529;0486800829;132321718915682000;2020-04-24;06:18:11.568;;;;;;18006;132321719095742000;2020-04-24;06:18:29.574;;;;;;;;132000_0034361444;;;;Camera02;11;EDI+EDI;;Accept;;132000;2368;;123;Departures;;;;;;;;;;;;
D01/00000D470A710007;132321719290664644;2020-04-24;06:18:49.066;application/x-bolt;25074;0486800831;132321719054242000;2020-04-24;06:18:25.424;;;;;;18006;132321719234302000;2020-04-24;06:18:43.430;;;;;;;;132000_0034361447;;;;;;EDI+EDI;;Accept;;132000;2357;;123;Departures;;;;;;;;;;;;
D01/00000D470A780006;132321719396743487;2020-04-24;06:18:59.674;application/x-bolt;24022;0486800830;132321719160312000;2020-04-24;06:18:36.031;;;;;;18007;132321719340382000;2020-04-24;06:18:54.038;;;;;;;;132000_0034361443;;;;Camera02;11;EDI+EDI;;Accept;;132000;2342;;123;Departures;;;;;;;;;;;;
D01/00000D470A7E0008;132321719420413317;2020-04-24;06:19:02.041;application/x-bolt;28302;0229306949;132321719183972000;2020-04-24;06:18:38.397;;;;;;18007;132321719364042000;2020-04-24;06:18:56.404;;;;;;;;132000_0034361442;;;;;;EDI+EDI;;Accept;;132000;2366;;123;Departures;;;;;;;;;;;;
D01/00000D470A860006;132321719598332321;2020-04-24;06:19:19.833;application/x-bolt;23482;0229306951;132321719362002000;2020-04-24;06:18:56.200;;;;;;18007;132321719542072000;2020-04-24;06:19:14.207;;;;;;;;132000_0034361445;;;;Camera02;09;EDI+EDI;;Accept;;132000;2378;;123;Departures;;;;;;;;;;;;
D01/00000D470A8C0006;132321719656931399;2020-04-24;06:19:25.693;application/x-bolt;23046;0229306953 / 0235334386;132321719418872000;2020-04-24;06:19:01.887;;;;;;18186;132321719600732000;2020-04-24;06:19:20.073;;;;;;;;132000_0034361450;;;Multiple main barcodes detected;Camera03;09;EDI+EDI;;Accept;;132000;2382;;123;Departures;;;;;;;;;;;;
D01/00000D470A920007;132321719686876478;2020-04-24;06:19:28.688;application/x-bolt;24892;0229306952 / 0229272604;132321719448722000;2020-04-24;06:19:04.872;;;;;;18201;132321719630732000;2020-04-24;06:19:23.073;;;;;;;;132000_0034361449;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;132000;2403;;123;Departures;;;;;;;;;;;;
D01/00000D470A990007;132321719737969268;2020-04-24;06:19:33.797;application/x-bolt;27673;0229306950 / 0077517045;132321719501832000;2020-04-24;06:19:10.183;;;;;;18008;132321719681912000;2020-04-24;06:19:28.191;;;;;;;;132000_0034361446;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;132000;2431;;123;Departures;;;;;;;;;;;;
