BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
D01/00000D453BED0007;132301872770623512;2020-04-01;07:01:17.062;application/x-bolt;24844;0235897346;132301872458664000;2020-04-01;07:00:45.866;;;;;;18006;132301872638724000;2020-04-01;07:01:03.872;;;;;;;;131900_0034337594;;;;Camera05;01;EDI+EDI;;Accept;;131900;2299;;123;Departures;;;;;;;;;;;;
D01/00000D453BF40007;132301873866627840;2020-04-01;07:03:06.663;application/x-bolt;24414;0235897348;132301873554314000;2020-04-01;07:02:35.431;;;;;;18007;132301873734384000;2020-04-01;07:02:53.438;;;;;;;;131900_0034337595;;;;;;EDI+EDI;;Accept;;131900;2274;;123;Departures;;;;;;;;;;;;
D01/00000D453BFB0007;132301873968293587;2020-04-01;07:03:16.829;application/x-bolt;25506;0235897347 / 0235512216;132301873656214000;2020-04-01;07:02:45.621;;;;;;18007;132301873836284000;2020-04-01;07:03:03.628;;;;;;;;131900_0034337596;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131900;2290;;123;Departures;;;;;;;;;;;;
D01/00000D453C020006;132301874515765301;2020-04-01;07:04:11.577;application/x-bolt;23821;0235897349;132301874203564000;2020-04-01;07:03:40.356;;;;;;18006;132301874383624000;2020-04-01;07:03:58.362;;;;;;;;131900_0034337597;;;;Camera06;04;EDI+EDI;;Accept;;131900;2252;;123;Departures;;;;;;;;;;;;
D01/00000D453C080007;132301875073585747;2020-04-01;07:05:07.359;application/x-bolt;25847;0235897350;132301874761284000;2020-04-01;07:04:36.128;;;;;;18007;132301874941354000;2020-04-01;07:04:54.135;;;;;;;;131900_0034337598;;;;;;EDI+EDI;;Accept;;131900;2278;;123;Departures;;;;;;;;;;;;
D01/00000D453C0F0007;132301875173249801;2020-04-01;07:05:17.325;application/x-bolt;24720;0235897351;132301874861124000;2020-04-01;07:04:46.112;;;;;;18007;132301875041194000;2020-04-01;07:05:04.119;;;;;;;;131900_0034337599;;;;;;EDI+EDI;;Accept;;131900;2245;;123;Departures;;;;;;;;;;;;
D01/00000D453C160007;132301875748384849;2020-04-01;07:06:14.838;application/x-bolt;24965;0235897352;132301875436144000;2020-04-01;07:05:43.614;;;;;;18006;132301875616204000;2020-04-01;07:06:01.620;;;;;;;;131900_0034337600;;;;;;EDI+EDI;;Accept;;131900;2280;;123;Departures;;;;;;;;;;;;
D01/00000D453C1D0006;132301875835318166;2020-04-01;07:06:23.532;application/x-bolt;23956;0235897353;132301875522984000;2020-04-01;07:05:52.298;;;;;;18008;132301875703064000;2020-04-01;07:06:10.306;;;;;;;;131900_0034337601;;;;;;EDI+EDI;;Accept;;131900;2259;;123;Departures;;;;;;;;;;;;
D01/00000D453C230006;132301875952056619;2020-04-01;07:06:35.206;application/x-bolt;23778;0235897354;132301875639844000;2020-04-01;07:06:03.984;;;;;;18008;132301875819924000;2020-04-01;07:06:21.992;;;;;;;;131900_0034337604;;;;Camera01;07;EDI+EDI;;Accept;;131900;2275;;123;Departures;;;;;;;;;;;;
D01/00000D453C290007;132301875980070240;2020-04-01;07:06:38.007;application/x-bolt;25624;0235897355;132301875667814000;2020-04-01;07:06:06.781;;;;;;18008;132301875847894000;2020-04-01;07:06:24.789;;;;;;;;131900_0034337605;;;;;;EDI+EDI;;Accept;;131900;2289;;123;Departures;;;;;;;;;;;;
