BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
A01/0000020C1322000D;132423454535033564;2020-08-20;00:17:33.503;application/x-bolt;52110;;132423448439200000;2020-08-20;00:07:23.920;;;;;;603002;132423454469220000;2020-08-20;00:17:26.922;;;;29989;;Timeout;20330;100507_0000000649;;;VCS license timeout;;;VCS;;Timeout;;100507;20000;;202;;;549670;;Timeout;50330;;;;;;;
A01/0000020C1313000F;132423451810496289;2020-08-20;00:13:01.050;application/x-bolt;60053;;132423451346370000;2020-08-20;00:12:14.637;;;;;;39659;132423451742960000;2020-08-20;00:12:54.296;;;14325;1947;;Reject;20363;100321_0000000283;;;"Enrichment ""VCCLicense"" cancelled: no requester available";Camera08;05;VCS;;Cancel;;100321;20000;;202;Arrivals;;4;Cancelled: no requester available;Cancel;36654;;;;;;;
A01/0000020C132F0002;132423487377168531;2020-08-20;01:12:17.717;application/x-bolt;3733;5555450438;132423487083680000;2020-08-20;01:11:48.368;;;;;;23003;132423487313710000;2020-08-20;01:12:11.371;;;;;;;;100309_0000000792;;;;;;EDI;;Accept;;100309;20000;;2;Arrivals;;;;;;;;;;;;
A01/0000020C13310002;132423487407853845;2020-08-20;01:12:20.785;application/x-bolt;3733;5555450434;132423487114360000;2020-08-20;01:11:51.436;;;;;;23003;132423487344390000;2020-08-20;01:12:14.439;;;;;;;;100309_0000000793;;;;;;EDI;;Accept;;100309;20000;;2;Arrivals;;;;;;;;;;;;
A01/0000020C13330002;132423487435676792;2020-08-20;01:12:23.568;application/x-bolt;3751;5555450504;132423487142180000;2020-08-20;01:11:54.218;;;;;;23004;132423487372220000;2020-08-20;01:12:17.222;;;;;;;;100309_0000000794;;;;;;EDI;;Accept;;100309;20001;;2;Arrivals;;;;;;;;;;;;
A01/0000020C13350002;132423487468603950;2020-08-20;01:12:26.860;application/x-bolt;3740;5555450505;132423487175140000;2020-08-20;01:11:57.514;;;;;;23003;132423487405170000;2020-08-20;01:12:20.517;;;;;;;;100309_0000000795;;;;;;EDI;;Accept;;100309;20000;;2;Arrivals;;;;;;;;;;;;
A01/0000020C13370002;132423487506645327;2020-08-20;01:12:30.665;application/x-bolt;3723;5555450432;132423487213210000;2020-08-20;01:12:01.321;;;;;;23003;132423487443240000;2020-08-20;01:12:24.324;;;;;;;;100309_0000000796;;;;;;EDI;;Accept;;100309;20000;;2;Arrivals;;;;;;;;;;;;
A01/0000020C13390002;132423487538711779;2020-08-20;01:12:33.871;application/x-bolt;3744;5555450336;132423487245170000;2020-08-20;01:12:04.517;;;;;;23006;132423487475230000;2020-08-20;01:12:27.523;;;;;;;;100309_0000000797;;;;;;EDI;;Accept;;100309;20000;;2;Arrivals;;;;;;;;;;;;
A01/0000020C133B0002;132423487661483042;2020-08-20;01:12:46.148;application/x-bolt;3753;5555450540;132423487367990000;2020-08-20;01:12:16.799;;;;;;23003;132423487598020000;2020-08-20;01:12:39.802;;;;;;;;100309_0000000798;;;;;;EDI;;Accept;;100309;20000;;2;Arrivals;;;;;;;;;;;;
A01/0000020C133D0002;132423487704178262;2020-08-20;01:12:50.418;application/x-bolt;3742;5555450248;132423487410720000;2020-08-20;01:12:21.072;;;;;;23003;132423487640750000;2020-08-20;01:12:44.075;;;;;;;;100309_0000000799;;;;;;EDI;;Accept;;100309;20000;;2;Arrivals;;;;;;;;;;;;
