BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
A01/000001F7CAEC0001;132396660420388893;2020-07-20;00:00:42.039;application/x-bolt;3701;0235848721;132396660106920000;2020-07-20;00:00:10.692;;;;;;23003;132396660336950000;2020-07-20;00:00:33.695;;;;;;;;100613_0000000362;;;;;;EDI;;Accept;;100613;20000;;2;;;;;;;;;;;;;
A01/000001F7CB140001;132396661380006496;2020-07-20;00:02:18.001;application/x-bolt;3703;0523921817;132396661003090000;2020-07-20;00:01:40.309;;;;;;23331;132396661236400000;2020-07-20;00:02:03.640;;;;;;;;100513_0000000398;;;;;;EDI;;Accept;;100513;20046;;2;;;;;;;;;;;;;
A01/000001F7CB150002;132396661410752051;2020-07-20;00:02:21.075;application/x-bolt;3820;0523907227 / 0523898477;132396661037150000;2020-07-20;00:01:43.715;;;;;;23004;132396661267190000;2020-07-20;00:02:06.719;;;;;;;;100513_0000000399;;;Multiple main barcodes detected;;;EDI;;Accept;;100513;20000;;2;;;;;;;;;;;;;
A01/000001F7CB170001;132396661473804460;2020-07-20;00:02:27.380;application/x-bolt;3681;0523921819;132396661100210000;2020-07-20;00:01:50.021;;;;;;23003;132396661330240000;2020-07-20;00:02:13.024;;;;;;;;100513_0000000400;;;;;;EDI;;Accept;;100513;20000;;2;;;;;;;;;;;;;
A01/000001F7CB180001;132396661514498282;2020-07-20;00:02:31.450;application/x-bolt;3681;0523904192;132396661138530000;2020-07-20;00:01:53.853;;;;;;23003;132396661368560000;2020-07-20;00:02:16.856;;;;;;;;100513_0000000401;;;;;;EDI;;Accept;;100513;20000;;2;;;;;;;;;;;;;
A01/000001F7CB190001;132396661541740924;2020-07-20;00:02:34.174;application/x-bolt;3699;0523912957;132396661168040000;2020-07-20;00:01:56.804;;;;;;23018;132396661398220000;2020-07-20;00:02:19.822;;;;;;;;100513_0000000402;;;;;;EDI;;Accept;;100513;20000;;2;;;;;;;;;;;;;
A01/000001F7CBD2000D;132396667373197851;2020-07-20;00:12:17.320;application/x-bolt;52159;;132396661197090000;2020-07-20;00:01:59.709;;;;;;603002;132396667227110000;2020-07-20;00:12:02.711;;;;29988;;Timeout;20380;100513_0000000403;;;VCS license timeout;;;VCS;;Timeout;;100513;20000;;202;;;549622;;Timeout;50378;;;;;;;
A01/000001F7CB420001;132396661840018847;2020-07-20;00:03:04.002;application/x-bolt;3702;0523920878;132396661466360000;2020-07-20;00:02:26.636;;;;;;23003;132396661696390000;2020-07-20;00:02:49.639;;;;;;;;100513_0000000404;;;;;;EDI;;Accept;;100513;20000;;2;;;;;;;;;;;;;
A01/000001F7CB500001;132396661891251425;2020-07-20;00:03:09.125;application/x-bolt;3704;0523898891;132396661517630000;2020-07-20;00:02:31.763;;;;;;23004;132396661747670000;2020-07-20;00:02:54.767;;;;;;;;100513_0000000405;;;;;;EDI;;Accept;;100513;20000;;2;;;;;;;;;;;;;
A01/000001F7CBE1000D;132396667731966044;2020-07-20;00:12:53.197;application/x-bolt;52195;;132396661555830000;2020-07-20;00:02:35.583;;;;;;603002;132396667585850000;2020-07-20;00:12:38.585;;;;29988;;Timeout;20365;100513_0000000406;;;VCS license timeout;;;VCS;;Timeout;;100513;20000;;202;;;549638;;Timeout;50363;;;;;;;
