BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
D01/00000D45CA070006;132305652250437838;2020-04-05;16:00:25.044;application/x-bolt;23924;0950721981;132305652016080000;2020-04-05;16:00:01.608;;;;;;18008;132305652196160000;2020-04-05;16:00:19.616;;;;;;;;131800_0034343705;;;;Camera04;03;EDI+EDI;;Accept;;131800;3984;;123;Departures;;;;;;;;;;;;
D01/00000D45CA0D0006;132305652290091279;2020-04-05;16:00:29.009;application/x-bolt;23932;0950721994;132305652055880000;2020-04-05;16:00:05.588;;;;;;18008;132305652235960000;2020-04-05;16:00:23.596;;;;;;;;131800_0034343706;;;;Camera02;11;EDI+EDI;;Accept;;131800;2291;;123;Departures;;;;;;;;;;;;
D01/00000D45CA130006;132305652317764620;2020-04-05;16:00:31.776;application/x-bolt;23551;0950721996;132305652083580000;2020-04-05;16:00:08.358;;;;;;18007;132305652263650000;2020-04-05;16:00:26.365;;;;;;;;131800_0034343707;;;;Camera04;03;EDI+EDI;;Accept;;131800;2418;;123;Departures;;;;;;;;;;;;
D01/00000D45CA190006;132305652345798262;2020-04-05;16:00:34.580;application/x-bolt;24028;0096098301 / 0950721982;132305652111450000;2020-04-05;16:00:11.145;;;;;;18009;132305652291540000;2020-04-05;16:00:29.154;;;;;;;;131800_0034343708;;;Multiple main barcodes detected;Camera01;07;EDI+EDI;;Accept;;131800;2417;;123;Departures;;;;;;;;;;;;
D01/00000D45CA1F0006;132305652851414681;2020-04-05;16:01:25.141;application/x-bolt;21256;0950721999;132305652617220000;2020-04-05;16:01:01.722;;;;;;18008;132305652797300000;2020-04-05;16:01:19.730;;;;;;;;131800_0034343709;;;;;;EDI+EDI;;Accept;;131800;3859;;123;Departures;;;;;;;;;;;;
D01/00000D45CA250006;132305653117809347;2020-04-05;16:01:51.781;application/x-bolt;21417;0950722004;132305652883580000;2020-04-05;16:01:28.358;;;;;;18008;132305653063660000;2020-04-05;16:01:46.366;;;;;;;;131800_0034343711;;;;;;EDI+EDI;;Accept;;131800;2419;;123;Departures;;;;;;;;;;;;
D01/00000D45CA2B0006;132305653147494384;2020-04-05;16:01:54.749;application/x-bolt;23802;0950722003;132305652913240000;2020-04-05;16:01:31.324;;;;;;18007;132305653093310000;2020-04-05;16:01:49.331;;;;;;;;131800_0034343710;;;;Camera02;12;EDI+EDI;;Accept;;131800;2428;;123;Departures;;;;;;;;;;;;
D01/00000D45CA310007;132305653205943673;2020-04-05;16:02:00.594;application/x-bolt;24491;0950722002;132305652971660000;2020-04-05;16:01:37.166;;;;;;18008;132305653151740000;2020-04-05;16:01:55.174;;;;;;;;131800_0034343713;;;;;;EDI+EDI;;Accept;;131800;2423;;123;Departures;;;;;;;;;;;;
D01/00000D45CA380006;132305653233647037;2020-04-05;16:02:03.365;application/x-bolt;23624;0950722005;132305652999440000;2020-04-05;16:01:39.944;;;;;;18006;132305653179500000;2020-04-05;16:01:57.950;;;;;;;;131800_0034343712;;;;Camera02;12;EDI+EDI;;Accept;;131800;2446;;123;Departures;;;;;;;;;;;;
D01/00000D45CA3E0006;132305653452821884;2020-04-05;16:02:25.282;application/x-bolt;23062;0950722001;132305653218740000;2020-04-05;16:02:01.874;;;;;;18006;132305653398800000;2020-04-05;16:02:19.880;;;;;;;;131800_0034343714;;;;Camera03;05;EDI+EDI;;Accept;;131800;3707;;123;Departures;;;;;;;;;;;;
D01/00000D45CA440006;132305653651749655;2020-04-05;16:02:45.175;application/x-bolt;23792;0950722006;132305653417440000;2020-04-05;16:02:21.744;;;;;;18006;132305653597500000;2020-04-05;16:02:39.750;;;;;;;;131800_0034343715;;;;Camera04;03;EDI+EDI;;Accept;;131800;3847;;123;Departures;;;;;;;;;;;;
D01/00000D45CA4A0007;132305653708397427;2020-04-05;16:02:50.840;application/x-bolt;24828;0950721997;132305653474180000;2020-04-05;16:02:27.418;;;;;;18007;132305653654250000;2020-04-05;16:02:45.425;;;;;;;;131800_0034343716;;;;;;EDI+EDI;;Accept;;131800;2449;;123;Departures;;;;;;;;;;;;
D01/00000D45CA510007;132305653770079446;2020-04-05;16:02:57.008;application/x-bolt;26199;0950721998;132305653535610000;2020-04-05;16:02:33.561;;;;;;18013;132305653715740000;2020-04-05;16:02:51.574;;;;;;;;131800_0034343717;;;;;;EDI+EDI;;Accept;;131800;2442;;123;Departures;;;;;;;;;;;;
D01/00000D45CA580006;132305653915982498;2020-04-05;16:03:11.598;application/x-bolt;23166;0950722000;132305653681650000;2020-04-05;16:02:48.165;;;;;;18009;132305653861740000;2020-04-05;16:03:06.174;;;;;;;;131800_0034343718;;;;Camera06;04;EDI+EDI;;Accept;;131800;2480;;123;Departures;;;;;;;;;;;;
D01/00000D45CA5E0006;132305653947038691;2020-04-05;16:03:14.704;application/x-bolt;23745;0950722007;132305653712300000;2020-04-05;16:02:51.230;;;;;;18047;132305653892770000;2020-04-05;16:03:09.277;;;;;;;;131800_0034343719;;;;Camera05;01;EDI+EDI;;Accept;;131800;2471;;123;Departures;;;;;;;;;;;;
D01/00000D45CA640006;132305654003896642;2020-04-05;16:03:20.390;application/x-bolt;23644;0950722008;132305653769510000;2020-04-05;16:02:56.951;;;;;;18007;132305653949580000;2020-04-05;16:03:14.958;;;;;;;;131800_0034343720;;;;Camera02;12;EDI+EDI;;Accept;;131800;2477;;123;Departures;;;;;;;;;;;;
D01/00000D45CA6A0006;132305654144995643;2020-04-05;16:03:34.500;application/x-bolt;24031;0950722009;132305653910700000;2020-04-05;16:03:11.070;;;;;;18007;132305654090770000;2020-04-05;16:03:29.077;;;;;;;;131800_0034343721;;;;;;EDI+EDI;;Accept;;131800;2516;;123;Departures;;;;;;;;;;;;
D01/00000D45CA700007;132305654548866247;2020-04-05;16:04:14.887;application/x-bolt;24237;0950722014;132305654314560000;2020-04-05;16:03:51.456;;;;;;18006;132305654494620000;2020-04-05;16:04:09.462;;;;;;;;131800_0034343722;;;;;;EDI+EDI;;Accept;;131800;2467;;123;Departures;;;;;;;;;;;;
