BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
D01/00000D45BD300006;132304644712210563;2020-04-04;12:01:11.221;application/x-bolt;22440;0157702065;132304644489400000;2020-04-04;12:00:48.940;;;;;;18006;132304644669460000;2020-04-04;12:01:06.946;;;;;;;;132000_0034343117;;;;Camera03;08;EDI+EDI;;Accept;;132000;2227;;123;Departures;;;;;;;;;;;;
D01/00000D45BD360007;132304644965253974;2020-04-04;12:01:36.525;application/x-bolt;24175;0157702072;132304644742530000;2020-04-04;12:01:14.253;;;;;;18007;132304644922600000;2020-04-04;12:01:32.260;;;;;;;;132000_0034343118;;;;;;EDI+EDI;;Accept;;132000;2221;;123;Departures;;;;;;;;;;;;
D01/00000D45BD3D0007;132304651298009001;2020-04-04;12:12:09.801;application/x-bolt;24227;0157702178;132304651075280000;2020-04-04;12:11:47.528;;;;;;18007;132304651255350000;2020-04-04;12:12:05.535;;;;;;;;132000_0034343119;;;;;;EDI+EDI;;Accept;;132000;2201;;123;Departures;;;;;;;;;;;;
D01/00000D45BD440007;132304651552871191;2020-04-04;12:12:35.287;application/x-bolt;24462;0157702195;132304651330120000;2020-04-04;12:12:13.012;;;;;;18007;132304651510190000;2020-04-04;12:12:31.019;;;;;;;;132000_0034343120;;;;;;EDI+EDI;;Accept;;132000;2215;;123;Departures;;;;;;;;;;;;
D01/00000D45BD4B0007;132304656719775304;2020-04-04;12:21:11.978;application/x-bolt;26998;0235905189;132304656465080000;2020-04-04;12:20:46.508;;;;;;18006;132304656645140000;2020-04-04;12:21:04.514;;;;;;;;131900_0034343121;;;;;;EDI+EDI;;Accept;;131900;2205;;123;Departures;;;;;;;;;;;;
D01/00000D45BD520006;132304659117127473;2020-04-04;12:25:11.713;application/x-bolt;24099;0157702340;132304658894480000;2020-04-04;12:24:49.448;;;;;;18006;132304659074540000;2020-04-04;12:25:07.454;;;;;;;;132000_0034343122;;;;Camera02;10;EDI+EDI;;Accept;;132000;2216;;123;Departures;;;;;;;;;;;;
D01/00000D45BD580007;132304659171573050;2020-04-04;12:25:17.157;application/x-bolt;24389;0157702339;132304658948940000;2020-04-04;12:24:54.894;;;;;;18007;132304659129010000;2020-04-04;12:25:12.901;;;;;;;;132000_0034343123;;;;Camera04;01;EDI+EDI;;Accept;;132000;2226;;123;Departures;;;;;;;;;;;;
D01/00000D45BD5F0007;132304659612341984;2020-04-04;12:26:01.234;application/x-bolt;25906;0235905195;132304659357590000;2020-04-04;12:25:35.759;;;;;;18008;132304659537670000;2020-04-04;12:25:53.767;;;;;;;;131900_0034343124;;;;;;EDI+EDI;;Accept;;131900;2256;;123;Departures;;;;;;;;;;;;
D01/00000D45BD660006;132304661516375700;2020-04-04;12:29:11.638;application/x-bolt;22917;0235905199;132304661261770000;2020-04-04;12:28:46.177;;;;;;18006;132304661441830000;2020-04-04;12:29:04.183;;;;;;;;131900_0034343125;;;;Camera06;03;EDI+EDI;;Accept;;131900;2228;;123;Departures;;;;;;;;;;;;
D01/00000D45BD6C0006;132304661998389155;2020-04-04;12:29:59.839;application/x-bolt;23425;0235905201;132304661743880000;2020-04-04;12:29:34.388;;;;;;18006;132304661923940000;2020-04-04;12:29:52.394;;;;;;;;131900_0034343126;;;;Camera06;04;EDI+EDI;;Accept;;131900;2230;;123;Departures;;;;;;;;;;;;
D01/00000D45BD720006;132304663106483670;2020-04-04;12:31:50.648;application/x-bolt;23003;0235905206;132304662851650000;2020-04-04;12:31:25.165;;;;;;18007;132304663031720000;2020-04-04;12:31:43.172;;;;;;;;131900_0034343127;;;;Camera06;05;EDI+EDI;;Accept;;131900;2253;;123;Departures;;;;;;;;;;;;
D01/00000D45BD780007;132304663259152422;2020-04-04;12:32:05.915;application/x-bolt;25612;0235905202;132304663004450000;2020-04-04;12:31:40.445;;;;;;18007;132304663184520000;2020-04-04;12:31:58.452;;;;;;;;131900_0034343128;;;;;;EDI+EDI;;Accept;;131900;2222;;123;Departures;;;;;;;;;;;;
D01/00000D45BD7F0006;132304663974335585;2020-04-04;12:33:17.434;application/x-bolt;23481;0235905215;132304663719600000;2020-04-04;12:32:51.960;;;;;;18013;132304663899730000;2020-04-04;12:33:09.973;;;;;;;;131900_0034343129;;;;Camera06;04;EDI+EDI;;Accept;;131900;2256;;123;Departures;;;;;;;;;;;;
D01/00000D45BD850007;132304664559729283;2020-04-04;12:34:15.973;application/x-bolt;26034;0235905220;132304664304920000;2020-04-04;12:33:50.492;;;;;;18008;132304664485000000;2020-04-04;12:34:08.500;;;;;;;;131900_0034343130;;;;;;EDI+EDI;;Accept;;131900;2271;;123;Departures;;;;;;;;;;;;
D01/00000D45BD8C0007;132304664754323399;2020-04-04;12:34:35.432;application/x-bolt;26298;0235905216;132304664499390000;2020-04-04;12:34:09.939;;;;;;18007;132304664679460000;2020-04-04;12:34:27.946;;;;;;;;131900_0034343131;;;;;;EDI+EDI;;Accept;;131900;2592;;123;Departures;;;;;;;;;;;;
D01/00000D45BD930007;132304665246628588;2020-04-04;12:35:24.663;application/x-bolt;26873;0235905222;132304664991750000;2020-04-04;12:34:59.175;;;;;;18007;132304665171820000;2020-04-04;12:35:17.182;;;;;;;;131900_0034343132;;;;;;EDI+EDI;;Accept;;131900;2247;;123;Departures;;;;;;;;;;;;
D01/00000D45BD9A0007;132304671771201171;2020-04-04;12:46:17.120;application/x-bolt;26934;0235905225;132304671516100000;2020-04-04;12:45:51.610;;;;;;18007;132304671696170000;2020-04-04;12:46:09.617;;;;;;;;131900_0034343133;;;;;;EDI+EDI;;Accept;;131900;2211;;123;Departures;;;;;;;;;;;;
