BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
D01/00000D45BEEF0006;132304932404584878;2020-04-04;20:00:40.458;application/x-bolt;21637;0235906645;132304932144430000;2020-04-04;20:00:14.443;;;;;;18007;132304932324500000;2020-04-04;20:00:32.450;;;;;;;;131900_0034343210;;;;;;EDI+EDI;;Accept;;131900;2274;;123;Departures;;;;;;;;;;;;
D01/00000D45BEF50006;132304932809296193;2020-04-04;20:01:20.930;application/x-bolt;24015;0235906649;132304932549120000;2020-04-04;20:00:54.912;;;;;;18006;132304932729180000;2020-04-04;20:01:12.918;;;;;;;;131900_0034343211;;;;Camera06;05;EDI+EDI;;Accept;;131900;2262;;123;Departures;;;;;;;;;;;;
D01/00000D45BEFB0007;132304932840352386;2020-04-04;20:01:24.035;application/x-bolt;26835;0235906652;132304932579870000;2020-04-04;20:00:57.987;;;;;;18033;132304932760200000;2020-04-04;20:01:16.020;;;;;;;;131900_0034343212;;;;;;EDI+EDI;;Accept;;131900;2277;;123;Departures;;;;;;;;;;;;
D01/00000D45BF020007;132304932920840265;2020-04-04;20:01:32.084;application/x-bolt;26184;0235906653;132304932660690000;2020-04-04;20:01:06.069;;;;;;18006;132304932840750000;2020-04-04;20:01:24.075;;;;;;;;131900_0034343213;;;;;;EDI+EDI;;Accept;;131900;2298;;123;Departures;;;;;;;;;;;;
D01/00000D45BF090006;132304933237827605;2020-04-04;20:02:03.783;application/x-bolt;24052;0235906657;132304932977580000;2020-04-04;20:01:37.758;;;;;;18006;132304933157640000;2020-04-04;20:01:55.764;;;;;;;;131900_0034343214;;;;Camera06;03;EDI+EDI;;Accept;;131900;2782;;123;Departures;;;;;;;;;;;;
D01/00000D45BF0F0007;132304933933444263;2020-04-04;20:03:13.344;application/x-bolt;24585;0235906660;132304933673180000;2020-04-04;20:02:47.318;;;;;;18007;132304933853250000;2020-04-04;20:03:05.325;;;;;;;;131900_0034343216;;;;;;EDI+EDI;;Accept;;131900;5223;;123;Departures;;;;;;;;;;;;
D01/00000D45BF160007;132304934014392527;2020-04-04;20:03:21.439;application/x-bolt;24650;0235906659;132304933754090000;2020-04-04;20:02:55.409;;;;;;18007;132304933934160000;2020-04-04;20:03:13.416;;;;;;;;131900_0034343215;;;;;;EDI+EDI;;Accept;;131900;2318;;123;Departures;;;;;;;;;;;;
D01/00000D45BF1D0007;132304934217123508;2020-04-04;20:03:41.712;application/x-bolt;26845;0235906665;132304933956850000;2020-04-04;20:03:15.685;;;;;;18006;132304934136910000;2020-04-04;20:03:33.691;;;;;;;;131900_0034343217;;;;;;EDI+EDI;;Accept;;131900;2335;;123;Departures;;;;;;;;;;;;
D01/00000D45BF240007;132304934559412177;2020-04-04;20:04:15.941;application/x-bolt;28135;0235906667;132304934299140000;2020-04-04;20:03:49.914;;;;;;18007;132304934479210000;2020-04-04;20:04:07.921;;;;;;;;131900_0034343218;;;;;;EDI+EDI;;Accept;;131900;2644;;123;Departures;;;;;;;;;;;;
D01/00000D45BF2B0007;132304934941874733;2020-04-04;20:04:54.187;application/x-bolt;24509;0235906668;132304934681620000;2020-04-04;20:04:28.162;;;;;;18008;132304934861700000;2020-04-04;20:04:46.170;;;;;;;;131900_0034343219;;;;;;EDI+EDI;;Accept;;131900;4387;;123;Departures;;;;;;;;;;;;
D01/00000D45BF320006;132304935166394084;2020-04-04;20:05:16.639;application/x-bolt;23510;0235906669;132304934906050000;2020-04-04;20:04:50.605;;;;;;18007;132304935086120000;2020-04-04;20:05:08.612;;;;;;;;131900_0034343220;;;;;;EDI+EDI;;Accept;;131900;2307;;123;Departures;;;;;;;;;;;;
D01/00000D45BF380007;132304935626942493;2020-04-04;20:06:02.694;application/x-bolt;26511;0235906673;132304935366690000;2020-04-04;20:05:36.669;;;;;;18007;132304935546760000;2020-04-04;20:05:54.676;;;;;;;;131900_0034343221;;;;;;EDI+EDI;;Accept;;131900;2312;;123;Departures;;;;;;;;;;;;
D01/00000D45BF3F0007;132304936610501990;2020-04-04;20:07:41.050;application/x-bolt;25708;0235906680 / 0124448216;132304936350270000;2020-04-04;20:07:15.027;;;;;;18006;132304936530330000;2020-04-04;20:07:33.033;;;;;;;;131900_0034343223;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131900;2295;;123;Departures;;;;;;;;;;;;
D01/00000D45BF460007;132304936840085616;2020-04-04;20:08:04.009;application/x-bolt;25307;0235906678;132304936579770000;2020-04-04;20:07:37.977;;;;;;18008;132304936759850000;2020-04-04;20:07:55.985;;;;;;;;131900_0034343224;;;;;;EDI+EDI;;Accept;;131900;2569;;123;Departures;;;;;;;;;;;;
D01/00000D45BF4D0006;132304937158574219;2020-04-04;20:08:35.857;application/x-bolt;22620;0235906682;132304936898250000;2020-04-04;20:08:09.825;;;;;;18006;132304937078310000;2020-04-04;20:08:27.831;;;;;;;;131900_0034343226;;;;Camera05;09;EDI+EDI;;Accept;;131900;2718;;123;Departures;;;;;;;;;;;;
D01/00000D45BF530006;132304937334872903;2020-04-04;20:08:53.487;application/x-bolt;23822;0235906683 / 0235986683;132304937074560000;2020-04-04;20:08:27.456;;;;;;18006;132304937254620000;2020-04-04;20:08:45.462;;;;;;;;131900_0034343227;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131900;5090;;123;Departures;;;;;;;;;;;;
D01/00000D45BF590007;132304937390880130;2020-04-04;20:08:59.088;application/x-bolt;25188;0235906681;132304937130580000;2020-04-04;20:08:33.058;;;;;;18006;132304937310640000;2020-04-04;20:08:51.064;;;;;;;;131900_0034343228;;;;;;EDI+EDI;;Accept;;131900;2321;;123;Departures;;;;;;;;;;;;
D01/00000D45BF600007;132304937507738687;2020-04-04;20:09:10.774;application/x-bolt;25652;0235906684 / 0235906685 / 0124413396;132304937247440000;2020-04-04;20:08:44.744;;;;;;18006;132304937427500000;2020-04-04;20:09:02.750;;;;;;;;131900_0034343230;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131900;2322;;123;Departures;;;;;;;;;;;;
D01/00000D45BF670006;132304937538524653;2020-04-04;20:09:13.852;application/x-bolt;23439;0235906655;132304937277610000;2020-04-04;20:08:47.761;;;;;;18068;132304937458290000;2020-04-04;20:09:05.829;;;;;;;;131900_0034343229;;;;Camera04;06;EDI+EDI;;Accept;;131900;2320;;123;Departures;;;;;;;;;;;;
D01/00000D45BF6D0007;132304937949160970;2020-04-04;20:09:54.916;application/x-bolt;25139;0235906685;132304937688740000;2020-04-04;20:09:28.874;;;;;;18006;132304937868800000;2020-04-04;20:09:46.880;;;;;;;;131900_0034343232;;;;;;EDI+EDI;;Accept;;131900;3668;;123;Departures;;;;;;;;;;;;
D01/00000D45BF740007;132304939927997832;2020-04-04;20:13:12.800;application/x-bolt;24969;0235906691 / 0124865980;132304939667810000;2020-04-04;20:12:46.781;;;;;;18007;132304939847880000;2020-04-04;20:13:04.788;;;;;;;;131900_0034343233;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131900;2281;;123;Departures;;;;;;;;;;;;
D01/00000D45BF7B0007;132304940332893167;2020-04-04;20:13:53.289;application/x-bolt;25140;0235906692;132304940072670000;2020-04-04;20:13:27.267;;;;;;18006;132304940252730000;2020-04-04;20:13:45.273;;;;;;;;131900_0034343234;;;;;;EDI+EDI;;Accept;;131900;5279;;123;Departures;;;;;;;;;;;;
D01/00000D45BF820006;132304940590477409;2020-04-04;20:14:19.048;application/x-bolt;23556;0235906689;132304940330230000;2020-04-04;20:13:53.023;;;;;;18006;132304940510290000;2020-04-04;20:14:11.029;;;;;;;;131900_0034343236;;;;Camera05;06;EDI+EDI;;Accept;;131900;2270;;123;Departures;;;;;;;;;;;;
D01/00000D45BF880007;132304940625363718;2020-04-04;20:14:22.536;application/x-bolt;27676;0235906693;132304940365270000;2020-04-04;20:13:56.527;;;;;;18007;132304940545340000;2020-04-04;20:14:14.534;;;;;;;;131900_0034343235;;;;;;EDI+EDI;;Accept;;131900;2279;;123;Departures;;;;;;;;;;;;
D01/00000D45BF8F0007;132304940850923811;2020-04-04;20:14:45.092;application/x-bolt;24704;0235906690 / 0235678716;132304940590800000;2020-04-04;20:14:19.080;;;;;;18007;132304940770870000;2020-04-04;20:14:37.087;;;;;;;;131900_0034343237;;;Multiple main barcodes detected;Camera03;05;EDI+EDI;;Accept;;131900;2256;;123;Departures;;;;;;;;;;;;
D01/00000D45BF960007;132304941288830624;2020-04-04;20:15:28.883;application/x-bolt;25406;0235906694;132304941028590000;2020-04-04;20:15:02.859;;;;;;18007;132304941208660000;2020-04-04;20:15:20.866;;;;;;;;131900_0034343238;;;;;;EDI+EDI;;Accept;;131900;2258;;123;Departures;;;;;;;;;;;;
D01/00000D45BF9D0007;132304941664825803;2020-04-04;20:16:06.483;application/x-bolt;24226;0235906695;132304941404580000;2020-04-04;20:15:40.458;;;;;;18007;132304941584650000;2020-04-04;20:15:58.465;;;;;;;;131900_0034343239;;;;Camera04;08;EDI+EDI;;Accept;;131900;2286;;123;Departures;;;;;;;;;;;;
D01/00000D45BFA40007;132304941739496412;2020-04-04;20:16:13.950;application/x-bolt;24322;0235906696;132304941479340000;2020-04-04;20:15:47.934;;;;;;18007;132304941659410000;2020-04-04;20:16:05.941;;;;;;;;131900_0034343241;;;;Camera06;03;EDI+EDI;;Accept;;131900;4615;;123;Departures;;;;;;;;;;;;
D01/00000D45BFAB0006;132304942099968991;2020-04-04;20:16:49.997;application/x-bolt;24070;0235906698;132304941839800000;2020-04-04;20:16:23.980;;;;;;18007;132304942019870000;2020-04-04;20:16:41.987;;;;;;;;131900_0034343242;;;;Camera03;09;EDI+EDI;;Accept;;131900;2294;;123;Departures;;;;;;;;;;;;
D01/00000D45BFB10007;132304943862209326;2020-04-04;20:19:46.221;application/x-bolt;24994;0235906697;132304943602060000;2020-04-04;20:19:20.206;;;;;;18006;132304943782120000;2020-04-04;20:19:38.212;;;;;;;;131900_0034343246;;;;;;EDI+EDI;;Accept;;131900;2277;;123;Departures;;;;;;;;;;;;
D01/00000D45BFB80006;132304944083210274;2020-04-04;20:20:08.321;application/x-bolt;24154;0235906700;132304943823040000;2020-04-04;20:19:42.304;;;;;;18009;132304944003130000;2020-04-04;20:20:00.313;;;;;;;;131900_0034343247;;;;;;EDI+EDI;;Accept;;131900;2260;;123;Departures;;;;;;;;;;;;
D01/00000D45BFBE0006;132304944120891577;2020-04-04;20:20:12.089;application/x-bolt;23215;0235906699;132304943860640000;2020-04-04;20:19:46.064;;;;;;18019;132304944040830000;2020-04-04;20:20:04.083;;;;;;;;131900_0034343248;;;;Camera06;04;EDI+EDI;;Accept;;131900;2263;;123;Departures;;;;;;;;;;;;
D01/00000D45BFC40007;132304944666694961;2020-04-04;20:21:06.669;application/x-bolt;24922;0235906708;132304944406500000;2020-04-04;20:20:40.650;;;;;;18007;132304944586570000;2020-04-04;20:20:58.657;;;;;;;;131900_0034343249;;;;;;EDI+EDI;;Accept;;131900;2284;;123;Departures;;;;;;;;;;;;
D01/00000D45BFCB0007;132304945590862652;2020-04-04;20:22:39.086;application/x-bolt;25658;0235906712 / 0235974611 / 0660700721;132304945330680000;2020-04-04;20:22:13.068;;;;;;18006;132304945510740000;2020-04-04;20:22:31.074;;;;;;;;131900_0034343250;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131900;2253;;123;Departures;;;;;;;;;;;;
D01/00000D45BFD20007;132304946111415063;2020-04-04;20:23:31.142;application/x-bolt;25616;0235906721;132304945851210000;2020-04-04;20:23:05.121;;;;;;18007;132304946031280000;2020-04-04;20:23:23.128;;;;;;;;131900_0034343251;;;;;;EDI+EDI;;Accept;;131900;2294;;123;Departures;;;;;;;;;;;;
D01/00000D45BFD90006;132304946688794685;2020-04-04;20:24:28.879;application/x-bolt;23703;0235906725;132304946428600000;2020-04-04;20:24:02.860;;;;;;18007;132304946608670000;2020-04-04;20:24:20.867;;;;;;;;131900_0034343254;;;;Camera01;08;EDI+EDI;;Accept;;131900;2292;;123;Departures;;;;;;;;;;;;
D01/00000D45BFDF0006;132304947155344201;2020-04-04;20:25:15.534;application/x-bolt;23332;0235906729;132304946895070000;2020-04-04;20:24:49.507;;;;;;18012;132304947075190000;2020-04-04;20:25:07.519;;;;;;;;131900_0034343253;;;;Camera02;09;EDI+EDI;;Accept;;131900;3026;;123;Departures;;;;;;;;;;;;
D01/00000D45BFE50007;132304960361001364;2020-04-04;20:47:16.100;application/x-bolt;25290;0235906808;132304960100350000;2020-04-04;20:46:50.035;;;;;;18007;132304960280420000;2020-04-04;20:47:08.042;;;;;;;;131900_0034343257;;;;;;EDI+EDI;;Accept;;131900;2513;;123;Departures;;;;;;;;;;;;
D01/00000D45BFEC0007;132304960677268092;2020-04-04;20:47:47.727;application/x-bolt;25120;0235906809;132304960416610000;2020-04-04;20:47:21.661;;;;;;18006;132304960596670000;2020-04-04;20:47:39.667;;;;;;;;131900_0034343258;;;;;;EDI+EDI;;Accept;;131900;2215;;123;Departures;;;;;;;;;;;;
D01/00000D45BFF30007;132304961049872334;2020-04-04;20:48:24.987;application/x-bolt;25133;0235906812;132304960789240000;2020-04-04;20:47:58.924;;;;;;18008;132304960969320000;2020-04-04;20:48:16.932;;;;;;;;131900_0034343259;;;;;;EDI+EDI;;Accept;;131900;2235;;123;Departures;;;;;;;;;;;;
D01/00000D45BFFA0007;132304961422766818;2020-04-04;20:49:02.277;application/x-bolt;26291;0235906813;132304961162040000;2020-04-04;20:48:36.204;;;;;;18008;132304961342120000;2020-04-04;20:48:54.212;;;;;;;;131900_0034343260;;;;;;EDI+EDI;;Accept;;131900;2258;;123;Departures;;;;;;;;;;;;
