BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
A01/000001E28BCF0001;132334334638295920;2020-05-08;20:44:23.830;application/x-bolt;3688;1555067992;132334334336000000;2020-05-08;20:43:53.600;;;;;;23003;132334334566030000;2020-05-08;20:44:16.603;;;;;;;;100803_0000000004;;;;;;EDI;;Accept;;100803;20000;;2;;;;;;;;;;;;;
A01/000001E28BD00001;132334334665008632;2020-05-08;20:44:26.501;application/x-bolt;3676;1555067992;132334334362610000;2020-05-08;20:43:56.261;;;;;;23003;132334334592640000;2020-05-08;20:44:19.264;;;;;;;;100803_0000000005;;;;;;EDI;;Accept;;100803;20000;;2;;;;;;;;;;;;;
A01/000001E28BD10001;132334334698346990;2020-05-08;20:44:29.835;application/x-bolt;3705;1555067992;132334334395940000;2020-05-08;20:43:59.594;;;;;;23003;132334334625970000;2020-05-08;20:44:22.597;;;;;;;;100803_0000000006;;;;;;EDI;;Accept;;100803;20000;;2;;;;;;;;;;;;;
A01/000001E28BD2000D;132334374687316675;2020-05-08;21:51:08.732;application/x-bolt;52257;;132334368582210000;2020-05-08;21:40:58.221;;;;;;603002;132334374612230000;2020-05-08;21:51:01.223;;;;29988;;Timeout;20353;100803_0000000007;;;VCS license timeout;;;VCS;;Timeout;;100803;20000;;202;;;549648;;Timeout;50352;;;;;;;
A01/000001E28BDF000D;132334374780093785;2020-05-08;21:51:18.009;application/x-bolt;52124;;132334368675000000;2020-05-08;21:41:07.500;;;;;;603002;132334374705020000;2020-05-08;21:51:10.502;;;;29988;;Timeout;20323;100803_0000000008;;;VCS license timeout;;;VCS;;Timeout;;100803;20000;;202;;;549678;;Timeout;50323;;;;;;;
