BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
D01/00000D4E257F0007;132360377178621209;2020-06-08;00:08:37.862;application/x-bolt;26216;0235381653;132360376921220000;2020-06-08;00:08:12.122;;;;;;18007;132360377101290000;2020-06-08;00:08:30.129;;;;;;;;131800_0034440011;;;;;;EDI+EDI;;Accept;;131800;2224;;123;Departures;;;;;;;;;;;;
D01/00000D4E25860007;132360377593397778;2020-06-08;00:09:19.340;application/x-bolt;25421;0235381654;132360377336030000;2020-06-08;00:08:53.603;;;;;;18007;132360377516100000;2020-06-08;00:09:11.610;;;;;;;;131800_0034440012;;;;;;EDI+EDI;;Accept;;131800;2218;;123;Departures;;;;;;;;;;;;
D01/00000D4E258D0007;132360378036498013;2020-06-08;00:10:03.650;application/x-bolt;24576;0235381655;132360377779110000;2020-06-08;00:09:37.911;;;;;;18007;132360377959180000;2020-06-08;00:09:55.918;;;;;;;;131800_0034440013;;;;Camera05;03;EDI+EDI;;Accept;;131800;2242;;123;Departures;;;;;;;;;;;;
D01/00000D4E25940007;132360378351120902;2020-06-08;00:10:35.112;application/x-bolt;26124;0235381656;132360378093730000;2020-06-08;00:10:09.373;;;;;;18007;132360378273800000;2020-06-08;00:10:27.380;;;;;;;;131800_0034440014;;;;;;EDI+EDI;;Accept;;131800;2238;;123;Departures;;;;;;;;;;;;
D01/00000D4E259B000A;132360386348025850;2020-06-08;00:23:54.803;application/x-bolt;36287;0235381646;132360386117180000;2020-06-08;00:23:31.718;MZH - TK2854;MZH;2020-06-08;TK2854;;15287;132360386270050000;2020-06-08;00:23:47.005;;;9641;170;;Full;2467;131800_0034440015;TK_2854_DMO0806;;;Camera02;06;EDI+OCR;;Accept;;131800;2208;;123;Departures;;;;;;;;;;;;
D01/00000D4E25A50007;132360387065020395;2020-06-08;00:25:06.502;application/x-bolt;24348;0235381594;132360386806980000;2020-06-08;00:24:40.698;;;;;;18006;132360386987040000;2020-06-08;00:24:58.704;;;;;;;;131700_0034440016;;;;;;EDI+EDI;;Accept;;131700;2208;;123;Departures;;;;;;;;;;;;
D01/00000D4E25AC0007;132360387111238719;2020-06-08;00:25:11.124;application/x-bolt;25032;0235381634;132360386853220000;2020-06-08;00:24:45.322;;;;;;18006;132360387033280000;2020-06-08;00:25:03.328;;;;;;;;131700_0034440017;;;;;;EDI+EDI;;Accept;;131700;2208;;123;Departures;;;;;;;;;;;;
D01/00000D4E25B30007;132360387222160700;2020-06-08;00:25:22.216;application/x-bolt;24542;0235381560;132360386964230000;2020-06-08;00:24:56.423;;;;;;18006;132360387144290000;2020-06-08;00:25:14.429;;;;;;;;131700_0034440020;;;;;;EDI+EDI;;Accept;;131700;2227;;123;Departures;;;;;;;;;;;;
D01/00000D4E25BA0007;132360387294530711;2020-06-08;00:25:29.453;application/x-bolt;24404;0235381554;132360387036570000;2020-06-08;00:25:03.657;;;;;;18006;132360387216630000;2020-06-08;00:25:21.663;;;;;;;;131700_0034440021;;;;Camera03;05;EDI+EDI;;Accept;;131700;2219;;123;Departures;;;;;;;;;;;;
D01/00000D4E25C10006;132360387299414756;2020-06-08;00:25:29.941;application/x-bolt;23550;0235381621;132360387041890000;2020-06-08;00:25:04.189;;;;;;18007;132360387221960000;2020-06-08;00:25:22.196;;;;;;;;131800_0034440018;;;;;;EDI+EDI;;Accept;;131800;2220;;123;Departures;;;;;;;;;;;;
