BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
D01/00000D464BDB0009;132314770107740165;2020-04-16;05:16:50.774;application/x-bolt;32389;;132314769811400000;2020-04-16;05:16:21.140;KBL - RQ910;KBL;2020-04-16;RQ910;;25945;132314770070850000;2020-04-16;05:16:47.085;;;10221;161;;Partial;12545;131900_0034349493;RQ_0910_DTH1604;;"Enrichment ""VCCLicense"" cancelled: no requester available";Camera01;06;VCS+OCR;;Accept;;131900;4529;;123;Departures;;3;Cancelled: no requester available;Cancel;22940;;;;;;;
D01/00000D464BE40006;132314770341592936;2020-04-16;05:17:14.159;application/x-bolt;23843;0384988364;132314770124990000;2020-04-16;05:16:52.499;;;;;;18008;132314770305070000;2020-04-16;05:17:10.507;;;;;;;;131900_0034349494;;;;Camera02;12;EDI+EDI;;Accept;;131900;2403;;123;Departures;;;;;;;;;;;;
D01/00000D464BEA0006;132314773006255885;2020-04-16;05:21:40.626;application/x-bolt;22584;0384988365;132314772789520000;2020-04-16;05:21:18.952;;;;;;18008;132314772969600000;2020-04-16;05:21:36.960;;;;;;;;131900_0034349495;;;;;;EDI+EDI;;Accept;;131900;2414;;123;Departures;;;;;;;;;;;;
D01/00000D464BF00008;132314775378739046;2020-04-16;05:25:37.874;application/x-bolt;29174;0384988367;132314775161820000;2020-04-16;05:25:16.182;;;;;;18008;132314775341900000;2020-04-16;05:25:34.190;;;;;;;;131900_0034349496;;;;;;EDI+EDI;;Accept;;131900;2439;;123;Departures;;;;;;;;;;;;
D01/00000D464BF80007;132314775755854695;2020-04-16;05:26:15.585;application/x-bolt;24884;0384988369;132314775539250000;2020-04-16;05:25:53.925;;;;;;18008;132314775719330000;2020-04-16;05:26:11.933;;;;;;;;131900_0034349497;;;;Camera05;03;EDI+EDI;;Accept;;131900;2422;;123;Departures;;;;;;;;;;;;
D01/00000D464BFF0008;132314775838073514;2020-04-16;05:26:23.807;application/x-bolt;28724;0384988368;132314775621320000;2020-04-16;05:26:02.132;;;;;;18008;132314775801400000;2020-04-16;05:26:20.140;;;;;;;;131900_0034349498;;;;;;EDI+EDI;;Accept;;131900;3514;;123;Departures;;;;;;;;;;;;
D01/00000D464C070007;132314776900612885;2020-04-16;05:28:10.061;application/x-bolt;24895;0384988370;132314776683800000;2020-04-16;05:27:48.380;;;;;;18009;132314776863890000;2020-04-16;05:28:06.389;;;;;;;;131900_0034349499;;;;;;EDI+EDI;;Accept;;131900;2430;;123;Departures;;;;;;;;;;;;
D01/00000D464C0E0007;132314777102521889;2020-04-16;05:28:30.252;application/x-bolt;25877;0384988372;132314776885710000;2020-04-16;05:28:08.571;;;;;;18007;132314777065780000;2020-04-16;05:28:26.578;;;;;;;;131900_0034349500;;;;;;EDI+EDI;;Accept;;131900;2440;;123;Departures;;;;;;;;;;;;
D01/00000D464C150007;132314777986862096;2020-04-16;05:29:58.686;application/x-bolt;25155;0384988373;132314777770030000;2020-04-16;05:29:37.003;;;;;;18008;132314777950110000;2020-04-16;05:29:55.011;;;;;;;;131900_0034349501;;;;Camera01;06;EDI+EDI;;Accept;;131900;2465;;123;Departures;;;;;;;;;;;;
D01/00000D464C1C0007;132314778536302008;2020-04-16;05:30:53.630;application/x-bolt;25138;0384988374;132314778319580000;2020-04-16;05:30:31.958;;;;;;18009;132314778499670000;2020-04-16;05:30:49.967;;;;;;;;131900_0034349503;;;;Camera02;08;EDI+EDI;;Accept;;131900;2457;;123;Departures;;;;;;;;;;;;
