BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
D01/00000D4A635C0007;132354348016642939;2020-06-01;00:40:01.664;application/x-bolt;27207;0235998567;132354347719642000;2020-06-01;00:39:31.964;;;;;;18008;132354347899722000;2020-06-01;00:39:49.972;;;;;;;;131900_0034400600;;;;;;EDI+EDI;;Accept;;131900;2412;;123;Departures;;;;;;;;;;;;
D01/00000D4A63630007;132354348559913428;2020-06-01;00:40:55.991;application/x-bolt;24605;0235998570;132354348262982000;2020-06-01;00:40:26.298;;;;;;18007;132354348443052000;2020-06-01;00:40:44.305;;;;;;;;131900_0034400601;;;;Camera04;08;EDI+EDI;;Accept;;131900;2428;;123;Departures;;;;;;;;;;;;
D01/00000D4A636A0007;132354348706284801;2020-06-01;00:41:10.628;application/x-bolt;24429;0235998571;132354348409392000;2020-06-01;00:40:40.939;;;;;;18007;132354348589462000;2020-06-01;00:40:58.946;;;;;;;;131900_0034400602;;;;;;EDI+EDI;;Accept;;131900;4704;;123;Departures;;;;;;;;;;;;
D01/00000D4A63710006;132354349335666697;2020-06-01;00:42:13.567;application/x-bolt;23215;0235998572;132354349078308000;2020-06-01;00:41:47.831;;;;;;18006;132354349258368000;2020-06-01;00:42:05.837;;;;;;;;131800_0034400603;;;;Camera06;02;EDI+EDI;;Accept;;131800;2220;;123;Departures;;;;;;;;;;;;
D01/00000D4A63770006;132354349395025917;2020-06-01;00:42:19.503;application/x-bolt;21061;0235998569;132354349137828000;2020-06-01;00:41:53.783;;;;;;18006;132354349317888000;2020-06-01;00:42:11.789;;;;;;;;131800_0034400604;;;;;;EDI+EDI;;Accept;;131800;2210;;123;Departures;;;;;;;;;;;;
D01/00000D4A637D0007;132354349836211754;2020-06-01;00:43:03.621;application/x-bolt;25130;0235998573;132354349578868000;2020-06-01;00:42:37.887;;;;;;18007;132354349758938000;2020-06-01;00:42:55.894;;;;;;;;131800_0034400605;;;;;;EDI+EDI;;Accept;;131800;2222;;123;Departures;;;;;;;;;;;;
D01/00000D4A63840007;132354350667691232;2020-06-01;00:44:26.769;application/x-bolt;26443;0235998574;132354350410218000;2020-06-01;00:44:01.022;;;;;;18006;132354350590278000;2020-06-01;00:44:19.028;;;;;;;;131800_0034400606;;;;;;EDI+EDI;;Accept;;131800;2240;;123;Departures;;;;;;;;;;;;
D01/00000D4A638B0007;132354351185430549;2020-06-01;00:45:18.543;application/x-bolt;24791;0235998575;132354350888442000;2020-06-01;00:44:48.844;;;;;;18008;132354351068522000;2020-06-01;00:45:06.852;;;;;;;;131900_0034400608;;;;Camera01;08;EDI+EDI;;Accept;;131900;2411;;123;Departures;;;;;;;;;;;;
D01/00000D4A63920006;132354351333543368;2020-06-01;00:45:33.354;application/x-bolt;23686;0235998576;132354351076088000;2020-06-01;00:45:07.609;;;;;;18006;132354351256148000;2020-06-01;00:45:25.615;;;;;;;;131800_0034400609;;;;Camera03;06;EDI+EDI;;Accept;;131800;2259;;123;Departures;;;;;;;;;;;;
D01/00000D4A63980006;132354351512001349;2020-06-01;00:45:51.200;application/x-bolt;23049;0235998568;132354351254658000;2020-06-01;00:45:25.466;;;;;;18006;132354351434718000;2020-06-01;00:45:43.472;;;;;;;;131800_0034400607;;;;Camera01;09;EDI+EDI;;Accept;;131800;2249;;123;Departures;;;;;;;;;;;;
