BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
D01/00000D4597B10007;132303708935994561;2020-04-03;10:01:33.599;application/x-bolt;25295;0235902939;132303708699390000;2020-04-03;10:01:09.939;;;;;;18006;132303708879450000;2020-04-03;10:01:27.945;;;;;;;;131900_0034341517;;;;;;EDI+EDI;;Accept;;131900;2287;;123;Departures;;;;;;;;;;;;
D01/00000D4597B80007;132303709050621230;2020-04-03;10:01:45.062;application/x-bolt;24741;0235902973;132303708814000000;2020-04-03;10:01:21.400;;;;;;18006;132303708994060000;2020-04-03;10:01:39.406;;;;;;;;131900_0034341518;;;;;;EDI+EDI;;Accept;;131900;2267;;123;Departures;;;;;;;;;;;;
D01/00000D4597BF0006;132303709106718542;2020-04-03;10:01:50.672;application/x-bolt;23558;0235902971;132303708870150000;2020-04-03;10:01:27.015;;;;;;18008;132303709050230000;2020-04-03;10:01:45.023;;;;;;;;131900_0034341519;;;;Camera06;03;EDI+EDI;;Accept;;131900;2300;;123;Departures;;;;;;;;;;;;
D01/00000D4597C50007;132303709164227046;2020-04-03;10:01:56.423;application/x-bolt;25281;0235902972;132303708927780000;2020-04-03;10:01:32.778;;;;;;18006;132303709107840000;2020-04-03;10:01:50.784;;;;;;;;131900_0034341520;;;;;;EDI+EDI;;Accept;;131900;2293;;123;Departures;;;;;;;;;;;;
D01/00000D4597CC0007;132303709398074262;2020-04-03;10:02:19.807;application/x-bolt;24161;0235902989 / 0564376809;132303709161540000;2020-04-03;10:01:56.154;;;;;;18006;132303709341600000;2020-04-03;10:02:14.160;;;;;;;;131900_0034341521;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131900;4396;;123;Departures;;;;;;;;;;;;
D01/00000D4597D30007;132303709803275995;2020-04-03;10:03:00.328;application/x-bolt;24532;0235902994;132303709566620000;2020-04-03;10:02:36.662;;;;;;18009;132303709746710000;2020-04-03;10:02:54.671;;;;;;;;131900_0034341522;;;;;;EDI+EDI;;Accept;;131900;3887;;123;Departures;;;;;;;;;;;;
D01/00000D4597DA0007;132303709917122009;2020-04-03;10:03:11.712;application/x-bolt;26098;0235902995;132303709680520000;2020-04-03;10:02:48.052;;;;;;18007;132303709860590000;2020-04-03;10:03:06.059;;;;;;;;131900_0034341523;;;;;;EDI+EDI;;Accept;;131900;2316;;123;Departures;;;;;;;;;;;;
D01/00000D4597E10007;132303710146035066;2020-04-03;10:03:34.604;application/x-bolt;24807;0235903001;132303709909440000;2020-04-03;10:03:10.944;;;;;;18007;132303710089510000;2020-04-03;10:03:28.951;;;;;;;;131900_0034341524;;;;;;EDI+EDI;;Accept;;131900;2283;;123;Departures;;;;;;;;;;;;
D01/00000D4597E80007;132303710549435278;2020-04-03;10:04:14.944;application/x-bolt;25876;0235903007;132303710312810000;2020-04-03;10:03:51.281;;;;;;18006;132303710492870000;2020-04-03;10:04:09.287;;;;;;;;131900_0034341527;;;;;;EDI+EDI;;Accept;;131900;2289;;123;Departures;;;;;;;;;;;;
D01/00000D4597EF0006;132303710670046995;2020-04-03;10:04:27.005;application/x-bolt;23552;0235903008;132303710433490000;2020-04-03;10:04:03.349;;;;;;18007;132303710613560000;2020-04-03;10:04:21.356;;;;;;;;131900_0034341528;;;;;;EDI+EDI;;Accept;;131900;2321;;123;Departures;;;;;;;;;;;;
D01/00000D4597F50007;132303710743639069;2020-04-03;10:04:34.364;application/x-bolt;24472;6628242068 / 0235722637;132303710451154000;2020-04-03;10:04:05.115;;;;;;18007;132303710631224000;2020-04-03;10:04:23.122;;;;;;;;131800_0034341525;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131800;3318;;123;Departures;;;;;;;;;;;;
D01/00000D4597FC0007;132303710827279601;2020-04-03;10:04:42.728;application/x-bolt;24805;6628242076;132303710534724000;2020-04-03;10:04:13.472;;;;;;18006;132303710714784000;2020-04-03;10:04:31.478;;;;;;;;131800_0034341526;;;;;;EDI+EDI;;Accept;;131800;2224;;123;Departures;;;;;;;;;;;;
D01/00000D4598030007;132303710986253676;2020-04-03;10:04:58.625;application/x-bolt;24506;0235903012;132303710749650000;2020-04-03;10:04:34.965;;;;;;18006;132303710929710000;2020-04-03;10:04:52.971;;;;;;;;131900_0034341529;;;;;;EDI+EDI;;Accept;;131900;5583;;123;Departures;;;;;;;;;;;;
D01/00000D45980A0006;132303711652125246;2020-04-03;10:06:05.213;application/x-bolt;21170;0523107222;132303711376512000;2020-04-03;10:05:37.651;;;;;;18007;132303711556582000;2020-04-03;10:05:55.658;;;;;;;;132000_0034341530;;;;;;EDI+EDI;;Accept;;132000;2214;;123;Departures;;;;;;;;;;;;
D01/00000D4598100007;132303712041763856;2020-04-03;10:06:44.176;application/x-bolt;24513;0523063577;132303711766042000;2020-04-03;10:06:16.604;;;;;;18007;132303711946112000;2020-04-03;10:06:34.611;;;;;;;;132000_0034341531;;;;;;EDI+EDI;;Accept;;132000;2212;;123;Departures;;;;;;;;;;;;
D01/00000D4598170007;132303712167549939;2020-04-03;10:06:56.755;application/x-bolt;24233;3628380090;132303711874824000;2020-04-03;10:06:27.482;;;;;;18007;132303712054894000;2020-04-03;10:06:45.489;;;;;;;;131800_0034341532;;;;;;EDI+EDI;;Accept;;131800;2227;;123;Departures;;;;;;;;;;;;
D01/00000D45981E0007;132303712189178179;2020-04-03;10:06:58.918;application/x-bolt;25994;0235903017;132303711952430000;2020-04-03;10:06:35.243;;;;;;18007;132303712132500000;2020-04-03;10:06:53.250;;;;;;;;131900_0034341533;;;;;;EDI+EDI;;Accept;;131900;5303;;123;Departures;;;;;;;;;;;;
D01/00000D4598250007;132303712220504597;2020-04-03;10:07:02.050;application/x-bolt;26068;0235903025 / 0235903098;132303711983900000;2020-04-03;10:06:38.390;;;;;;18007;132303712163970000;2020-04-03;10:06:56.397;;;;;;;;131900_0034341536;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131900;2422;;123;Departures;;;;;;;;;;;;
D01/00000D45982C0007;132303712283347597;2020-04-03;10:07:08.335;application/x-bolt;26796;0235903024;132303712046720000;2020-04-03;10:06:44.672;;;;;;18008;132303712226800000;2020-04-03;10:07:02.680;;;;;;;;131900_0034341535;;;;;;EDI+EDI;;Accept;;131900;2326;;123;Departures;;;;;;;;;;;;
D01/00000D4598330006;132303712502332276;2020-04-03;10:07:30.233;application/x-bolt;23174;0523040754;132303712226632000;2020-04-03;10:07:02.663;;;;;;18006;132303712406692000;2020-04-03;10:07:20.669;;;;;;;;132000_0034341534;;;;Camera04;01;EDI+EDI;;Accept;;132000;2238;;123;Departures;;;;;;;;;;;;
D01/00000D4598390007;132303713052846561;2020-04-03;10:08:25.285;application/x-bolt;25019;0235903031 / 0235580968;132303712816060000;2020-04-03;10:08:01.606;;;;;;18008;132303712996140000;2020-04-03;10:08:19.614;;;;;;;;131900_0034341540;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131900;2273;;123;Departures;;;;;;;;;;;;
D01/00000D4598400006;132303713133304417;2020-04-03;10:08:33.330;application/x-bolt;23151;3628380091 / 0235622877;132303712840754000;2020-04-03;10:08:04.075;;;;;;18007;132303713020824000;2020-04-03;10:08:22.082;;;;;;;;131800_0034341539;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131800;2235;;123;Departures;;;;;;;;;;;;
D01/00000D4598460007;132303713311865013;2020-04-03;10:08:51.187;application/x-bolt;25380;0235903038 / 0235893231;132303713075090000;2020-04-03;10:08:27.509;;;;;;18007;132303713255160000;2020-04-03;10:08:45.516;;;;;;;;131900_0034341541;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131900;2277;;123;Departures;;;;;;;;;;;;
D01/00000D45984D0007;132303713450792178;2020-04-03;10:09:05.079;application/x-bolt;25835;0235903036;132303713214150000;2020-04-03;10:08:41.415;;;;;;18008;132303713394230000;2020-04-03;10:08:59.423;;;;;;;;131900_0034341542;;;;;;EDI+EDI;;Accept;;131900;2293;;123;Departures;;;;;;;;;;;;
D01/00000D4598540007;132303713932648562;2020-04-03;10:09:53.265;application/x-bolt;25808;0235803846 / 6628242079;132303713639824000;2020-04-03;10:09:23.982;;;;;;18006;132303713819884000;2020-04-03;10:09:41.988;;;;;;;;131800_0034341543;;;Multiple main barcodes detected;Camera03;05;EDI+EDI;;Accept;;131800;2224;;123;Departures;;;;;;;;;;;;
D01/00000D45985B0007;132303714003037718;2020-04-03;10:10:00.304;application/x-bolt;25701;0235903053;132303713766320000;2020-04-03;10:09:36.632;;;;;;18007;132303713946390000;2020-04-03;10:09:54.639;;;;;;;;131900_0034341544;;;;;;EDI+EDI;;Accept;;131900;3901;;123;Departures;;;;;;;;;;;;
D01/00000D4598620007;132303714261834520;2020-04-03;10:10:26.183;application/x-bolt;25223;0235903055;132303714023940000;2020-04-03;10:10:02.394;;;;;;18140;132303714205340000;2020-04-03;10:10:20.534;;;;;;;;131900_0034341546;;;;;;EDI+EDI;;Accept;;131900;2278;;123;Departures;;;;;;;;;;;;
D01/00000D4598690006;132303714409266636;2020-04-03;10:10:40.927;application/x-bolt;23881;0235903060 / 0235313350;132303714172550000;2020-04-03;10:10:17.255;;;;;;18007;132303714352620000;2020-04-03;10:10:35.262;;;;;;;;131900_0034341548;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131900;3296;;123;Departures;;;;;;;;;;;;
D01/00000D45986F0006;132303714640092165;2020-04-03;10:11:04.009;application/x-bolt;23601;0771503777;132303714347374000;2020-04-03;10:10:34.737;;;;;;18008;132303714527454000;2020-04-03;10:10:52.745;;;;;;;;131800_0034341545;;;;;;EDI+EDI;;Accept;;131800;2256;;123;Departures;;;;;;;;;;;;
D01/00000D4598750006;132303714808870510;2020-04-03;10:11:20.887;application/x-bolt;22961;0771503775;132303714515974000;2020-04-03;10:10:51.597;;;;;;18008;132303714696054000;2020-04-03;10:11:09.605;;;;;;;;131800_0034341547;;;;Camera03;08;EDI+EDI;;Accept;;131800;2252;;123;Departures;;;;;;;;;;;;
D01/00000D45987B0007;132303714868105555;2020-04-03;10:11:26.811;application/x-bolt;25017;0771503776 / 0771410069;132303714575434000;2020-04-03;10:10:57.543;;;;;;18007;132303714755504000;2020-04-03;10:11:15.550;;;;;;;;131800_0034341549;;;Multiple main barcodes detected;;;EDI+EDI;;Accept;;131800;2261;;123;Departures;;;;;;;;;;;;
D01/00000D4598820007;132303715149219325;2020-04-03;10:11:54.922;application/x-bolt;25604;0235903059;132303714912380000;2020-04-03;10:11:31.238;;;;;;18006;132303715092440000;2020-04-03;10:11:49.244;;;;;;;;131900_0034341550;;;;;;EDI+EDI;;Accept;;131900;2287;;123;Departures;;;;;;;;;;;;
