BRL;ItemTime;ItemTime (local date);ItemTime (local time);BlobType;BlobSize;Barcode;CreateTime;CreateTime (local date);CreateTime (local time);Destination;DestinationAirport;DestinationDate;DestinationFlightNr;DestinationSource;Duration;FinishTime;FinishTime (local date);FinishTime (local time);Flags;LicensePlate;OCRExecute;OCRQueue;OCRRemarks;OCRResult;OCRStart;PieceId;ProcessPlanIDName;ProcessPlanIDVersion;Remarks;Side;SideSequence;Source;SpecialCategories;Status;Transfer;Tunnel;TunnelDuration;TunnelRemarks;TunnelSignals;TunnelType;VCSLicenseExecute;VCSLicenseQueue;VCSLicenseRemarks;VCSLicenseResult;VCSLicenseStart;VCSLicenseUser;VCSNoBSMExecute;VCSNoBSMQueue;VCSNoBSMRemarks;VCSNoBSMResult;VCSNoBSMStart;VCSNoBSMUser
D01/00000D45B4100007;132304104395619124;2020-04-03;21:00:39.562;application/x-bolt;25841;0655460845;132304104179150000;2020-04-03;21:00:17.915;;;;;;18007;132304104359220000;2020-04-03;21:00:35.922;;;;;;;;132000_0034342732;;;;;;EDI+EDI;;Accept;;132000;2463;;123;Departures;;;;;;;;;;;;
D01/00000D45B4170006;132304104427115690;2020-04-03;21:00:42.712;application/x-bolt;23900;0655460860;132304104210770000;2020-04-03;21:00:21.077;;;;;;18009;132304104390860000;2020-04-03;21:00:39.086;;;;;;;;132000_0034342729;;;;Camera02;08;EDI+EDI;;Accept;;132000;2474;;123;Departures;;;;;;;;;;;;
D01/00000D45B41D0007;132304104595908043;2020-04-03;21:00:59.591;application/x-bolt;26437;0655460846;132304104379560000;2020-04-03;21:00:37.956;;;;;;18007;132304104559630000;2020-04-03;21:00:55.963;;;;;;;;132000_0034342730;;;;;;EDI+EDI;;Accept;;132000;2502;;123;Departures;;;;;;;;;;;;
D01/00000D45B4240007;132304104624972555;2020-04-03;21:01:02.497;application/x-bolt;24726;0655460861;132304104408670000;2020-04-03;21:00:40.867;;;;;;18008;132304104588750000;2020-04-03;21:00:58.875;;;;;;;;132000_0034342731;;;;;;EDI+EDI;;Accept;;132000;2482;;123;Departures;;;;;;;;;;;;
D01/00000D45B42B0007;132304104850973157;2020-04-03;21:01:25.097;application/x-bolt;25719;0655460844;132304104634590000;2020-04-03;21:01:03.459;;;;;;18009;132304104814680000;2020-04-03;21:01:21.468;;;;;;;;132000_0034342733;;;;;;EDI+EDI;;Accept;;132000;3403;;123;Departures;;;;;;;;;;;;
D01/00000D45B4320006;132304104939027415;2020-04-03;21:01:33.903;application/x-bolt;22924;0655460864;132304104722680000;2020-04-03;21:01:12.268;;;;;;18006;132304104902740000;2020-04-03;21:01:30.274;;;;;;;;132000_0034342734;;;;Camera04;07;EDI+EDI;;Accept;;132000;2593;;123;Departures;;;;;;;;;;;;
D01/00000D45B4380006;132304105419562683;2020-04-03;21:02:21.956;application/x-bolt;23069;0655460862;132304105203270000;2020-04-03;21:02:00.327;;;;;;18007;132304105383340000;2020-04-03;21:02:18.334;;;;;;;;132000_0034342735;;;;Camera02;10;EDI+EDI;;Accept;;132000;2465;;123;Departures;;;;;;;;;;;;
D01/00000D45B43E0006;132304105528034160;2020-04-03;21:02:32.803;application/x-bolt;22981;0655460863;132304105311660000;2020-04-03;21:02:11.166;;;;;;18008;132304105491740000;2020-04-03;21:02:29.174;;;;;;;;132000_0034342736;;;;Camera06;08;EDI+EDI;;Accept;;132000;3687;;123;Departures;;;;;;;;;;;;
D01/00000D45B4440007;132304107478268919;2020-04-03;21:05:47.827;application/x-bolt;25132;0655460866;132304107261780000;2020-04-03;21:05:26.178;;;;;;18007;132304107441850000;2020-04-03;21:05:44.185;;;;;;;;132000_0034342737;;;;;;EDI+EDI;;Accept;;132000;2321;;123;Departures;;;;;;;;;;;;
D01/00000D45B44B0007;132304107649883656;2020-04-03;21:06:04.988;application/x-bolt;24380;0655460865;132304107433540000;2020-04-03;21:05:43.354;;;;;;18007;132304107613610000;2020-04-03;21:06:01.361;;;;;;;;132000_0034342738;;;;Camera03;06;EDI+EDI;;Accept;;132000;3514;;123;Departures;;;;;;;;;;;;
D01/00000D45B4520007;132304108531807434;2020-04-03;21:07:33.181;application/x-bolt;25149;0655460867;132304108315360000;2020-04-03;21:07:11.536;;;;;;18007;132304108495430000;2020-04-03;21:07:29.543;;;;;;;;132000_0034342739;;;;;;EDI+EDI;;Accept;;132000;3322;;123;Departures;;;;;;;;;;;;
D01/00000D45B4590007;132304109270190159;2020-04-03;21:08:47.019;application/x-bolt;24694;0655460868;132304109053780000;2020-04-03;21:08:25.378;;;;;;18006;132304109233840000;2020-04-03;21:08:43.384;;;;;;;;132000_0034342741;;;;;;EDI+EDI;;Accept;;132000;2250;;123;Departures;;;;;;;;;;;;
D01/00000D45B4600007;132304110269720824;2020-04-03;21:10:26.972;application/x-bolt;24172;0655460869;132304110053170000;2020-04-03;21:10:05.317;;;;;;18007;132304110233240000;2020-04-03;21:10:23.324;;;;;;;;132000_0034342743;;;;;;EDI+EDI;;Accept;;132000;2253;;123;Departures;;;;;;;;;;;;
D01/00000D45B4670006;132304110300964591;2020-04-03;21:10:30.096;application/x-bolt;23243;0655460870;132304110084580000;2020-04-03;21:10:08.458;;;;;;18007;132304110264650000;2020-04-03;21:10:26.465;;;;;;;;132000_0034342744;;;;Camera02;09;EDI+EDI;;Accept;;132000;2262;;123;Departures;;;;;;;;;;;;
D01/00000D45B46D0007;132304110800464427;2020-04-03;21:11:20.046;application/x-bolt;26363;0655460871;132304110584030000;2020-04-03;21:10:58.403;;;;;;18007;132304110764100000;2020-04-03;21:11:16.410;;;;;;;;132000_0034342745;;;;;;EDI+EDI;;Accept;;132000;2275;;123;Departures;;;;;;;;;;;;
D01/00000D45B4740007;132304110921076142;2020-04-03;21:11:32.108;application/x-bolt;24277;0655460872;132304110704750000;2020-04-03;21:11:10.475;;;;;;18007;132304110884820000;2020-04-03;21:11:28.482;;;;;;;;132000_0034342746;;;;;;EDI+EDI;;Accept;;132000;2291;;123;Departures;;;;;;;;;;;;
